almond,         almonds
ant,            ants
apple,          apples
avocado,        avocados
banana,         bananas
bat,            bats
bean,           beans
bear,           bears
beetle,         beetles
bell pepper,    bell peppers
bengal tiger,   bengal tigers
bumblebee,      bumblebees
bunny,          bunnies
butterfly,      butterflies
carrot,         carrots
cashew,         cashews
cat,            cats
caterpillar,    caterpillars
cherry,         cherries
chick,          chicks
chickpea,       chickpeas
chimpanzee,     chimpanzees
chipmunk,       chipmunks
crocodile,      crocodiles
cucumber,       cucumbers
dingo,          dingoes
dog,            dogs
dolphin,        dolphins
donkey,         donkeys
dragon fruit,   dragon fruit
dragonfly,      dragonflies
duck,           ducks
elephant,       elephants
fairy,          fairies
fig,            figs
fish,           fish
flamingo,       flamingos
fox,            foxes
frog,           frogs
gecko,          geckos
giraffe,        giraffes
gnome,          gnomes
goat,           goats
gorilla,        gorillas
grape,          grapes
grapefruit,     grapefruit
grasshopper,    grasshoppers
grizzly,        grizzlies
guinea pig,     guinea pigs
hamster,        hamsters
hazelnut,       hazelnuts
hippo,          hippos
hyena,          hyenas
impala,         impalas
jackfruit,      jackfruit
jellyfish,      jellyfish
kangaroo,       kangaroos
kitty,          kitties
kiwi,           kiwis
koala,          koalas
kumquat,        kumquats
lemon,          lemons
lemur,          lemurs
lime,           limes
lion,           lions
lizard,         lizards
lollipop,       lollipops
mango,          mangos
melon,          melons
midget,         midgets
monkey,         monkeys
moose,          moose
mouse,          mice
nectarine,      nectarines
newt,           newts
nightingale,    nightingales
ocelot,         ocelots
octopus,        octopuses
olive,          olives
onion,          onions
orange,         oranges
orangutan,      orangutans
ostrich,        ostriches
owl,            owls
panda,          pandas
panther,        panthers
parrot,         parrots
pea,            peas
peach,          peaches
peacock,        peacocks
peanut,         peanuts
pear,           pears
penguin,        penguins
piglet,         piglets
polar bear,     polar bears
potato,         potatoes
puffin,         puffins
puppy,          puppies
quokka,         quokkas
rabbit,         rabbits
raisin,         raisins
raspberry,      raspberries
red panda,      red pandas
rhino,          rhinos
rhubarb,        rhubarbs
rock hyrax,     rock hyraxes
scorpion,       scorpions
sea lion,       sea lions
sea urchin,     sea urchins
seahorse,       seahorses
seal,           seals
shark,          sharks
sheep,          sheep
shrimp,         shrimp
skunk,          skunks
sloth,          sloths
snail,          snails
sparrow,        sparrows
spider monkey,  spider monkeys
spider,         spiders
sponge,         sponges
squirrel,       squirrels
starfruit,      starfruit
strawberry,     strawberries
teddy,          teddies
tiger,          tigers
toad,           toads
tomato,         tomatoes
turtle,         turtles
unicorn,        unicorns
wallaby,        wallabies
walnut,         walnuts
walrus,         walruses
watermelon,     watermelons
weasel,         weasels
wolf,           wolves
wombat,         wombats
yak,            yaks
zebra,          zebras
zebu,           zebus
